booking_id	people	purpose	gender	is_required_prepay_satisfied	cancel_change	DOW
8	2	_____	M	1	0	6
14	7	____	F	1	1	1
22	2	_____	M	1	0	5
29	2	____	F	1	0	3
30	7	____	M	1	0	6
32	2	____	F	1	0	7
46	2	_____	F	1	0	6
47	10	____	M	1	1	1
50	4	____	M	1	0	4
53	6	____	M	1	0	2
57	2	____	F	1	0	5
58	2	_____	M	1	0	5
61	6	____	F	1	0	3
65	4	____	F	1	0	3
73	6	____	F	1	0	2
74	2	____	F	1	0	6
82	3		F	1	0	2
86	5	____	F	1	0	4
87	3	____	F	1	0	7
88	8	____	M	1	0	6
91	4	____	F	1	0	7
92	11	____	F	1	0	2
93	2	_____	M	1	0	6
94	2	____	M	1	1	2
98	2	____	M	1	0	2
101	2	____	M	1	0	7
102	3	____	F	1	0	4
107	2	____	F	1	0	5
108	2	____	M	1	0	6
113	2	_____	F	1	0	7
118	4		F	1	1	1
119	5	____	F	1	0	3
120	3	____	M	1	0	3
129	3	____	M	1	0	7
132	2	____	M	1	0	3
137	6	____	F	1	0	6
139	2		F	1	0	2
141	5	____	M	1	0	3
149	3	____	F	1	0	3
151	2	_____	M	1	1	4
155	2	____	M	1	1	1
170	2	____	F	1	0	2
173	4	____	F	1	0	1
177	4	____	M	1	0	7
178	2	____	M	1	0	3
182	12	____	M	1	0	1
188	12	____	M	1	0	1
189	2		F	1	1	5
202	6	____	M	1	0	1
203	4	____	F	1	0	2
206	2	____	F	1	0	6
219	7	____	M	1	0	6
224	2	____	M	1	0	3
230	3	____	F	1	0	1
241	2	____	F	1	1	3
244	3	____	M	1	0	6
245	2	_____	M	1	0	4
246	7	____	F	1	0	7
264	4	____	M	1	0	5
265	4	____	F	1	0	3
284	5	____	M	1	0	1
294	8		F	1	1	7
297	4	_____	M	1	0	7
312	6	____	F	1	0	6
326	2	____	M	1	0	1
327	2	____	F	1	1	1
333	8	____	M	1	0	7
335	7	____	F	1	1	2
338	2	_____	F	1	0	1
350	4	____	F	1	0	4
360	4		M	1	0	7
362	17	____	M	1	0	2
363	4	____	M	1	0	5
374	3	____	M	1	0	2
375	2	____	F	1	1	1
379	2	____	M	1	0	1
380	28	____	M	1	0	2
381	4	____	F	1	0	4
384	4	____	M	1	1	2
389	2	____	M	1	1	7
400	4	____	F	1	0	7
402	4	____	M	1	0	4
408	3	____	M	1	0	6
415	4	____	M	1	0	1
417	3	____	M	1	0	1
420	2		M	1	0	6
429	4	____	F	1	0	4
431	6	____	M	1	0	5
433	3	____	F	1	1	4
446	12	____	M	1	0	4
454	1	____	F	1	0	1
455	5	____	M	1	0	1
456	4	____	M	1	0	4
457	2	____	M	1	1	7
458	5	____	F	1	0	4
460	2	____	F	1	0	2
461	14	____	M	1	0	7
462	12	____	M	1	1	7
469	2	____	M	1	0	7
473	4	____	F	1	1	7
475	3	____	M	1	1	3
479	2	_____	F	1	0	4
490	8	____	F	1	0	6
499	10	____	M	1	1	7
500	3	____	F	1	0	6
506	2	____	M	1	0	3
523	2	____	M	1	0	4
527	5	____	F	1	0	1
535	2	____	F	1	0	4
539	4	____	M	1	0	4
541	2	____	M	1	0	2
544	2	____	M	1	0	4
546	3		F	1	0	7
552	2	_____	M	1	0	3
553	10	____	F	1	1	6
557	6	____	M	1	0	7
580	2	____	M	1	0	5
583	2	____	M	1	0	7
591	7	____	F	1	0	6
592	2		F	1	0	2
600	2	____	F	1	0	7
601	4	____	F	1	0	4
615	11	____	M	1	0	5
617	4	____	F	1	0	7
625	3	____	M	1	0	7
638	4	____	M	1	0	5
640	2	____	F	1	0	7
643	5	____	M	1	0	6
646	3	____	F	1	0	1
650	2	____	F	1	0	7
655	2	____	F	1	0	7
656	5	____	F	1	0	5
663	4	____	F	1	0	6
666	4	____	M	1	0	5
667	9	____	M	1	0	7
668	2	____	F	1	0	7
681	2	____	M	1	0	1
682	3	____	M	1	0	2
684	7	____	M	1	0	6
686	4	____	M	1	0	1
693	12	____	F	1	1	2
695	2	_____	M	1	1	7
697	8	____	F	1	0	2
699	2		F	1	1	6
704	14	____	M	1	0	7
706	2	_____	F	1	0	6
708	5	____	M	1	0	2
711	2	____	F	1	0	6
712	2	____	M	1	1	2
716	5	____	F	1	1	1
721	6	____	M	1	0	4
728	3	____	F	1	0	1
729	2	____	F	1	0	1
731	7	____	M	1	1	6
732	5	____	F	1	1	7
733	2	____	F	1	0	6
736	4	____	M	1	0	2
739	6	____	M	1	1	1
746	4	____	M	1	1	7
