feature,importance,fold
hla,369075.27494853735,11
allele_type,106.30997133255005,11
length,185579.50489467382,11
n_label,23850.476861298084,11
len_LPFR,0.0,11
len_RPFR,7905.973333120346,11
len_peptide_transform,3233.8201588392258,11
core_P1,14084.239542484283,11
core_P2,12825.598086118698,11
core_P3,11466.601531028748,11
core_P4,11836.305819094181,11
core_P5,11786.64761018753,11
core_P6,10806.523093342781,11
core_P7,11250.295921325684,11
core_P8,9689.977548539639,11
core_P9,11623.5834466815,11
LPFR_P1,16808.560934007168,11
LPFR_P2,18937.108122110367,11
LPFR_P3,19103.27081936598,11
RPFR_P1,22373.924420952797,11
RPFR_P2,19840.721713006496,11
RPFR_P3,24427.540116250515,11
core_atfidf,157212.39551985264,11
core_ctfidf,19742.94976067543,11
core_dtfidf,133275.47701877356,11
core_etfidf,81953.95668923855,11
core_ftfidf,85119.522123456,11
core_gtfidf,91492.64087498188,11
core_htfidf,28221.59497386217,11
core_itfidf,72913.18541586399,11
core_ktfidf,87315.63477492332,11
core_ltfidf,179765.69330579042,11
core_mtfidf,44689.53792613745,11
core_ntfidf,50228.19405037165,11
core_ptfidf,52511.15652048588,11
core_qtfidf,37206.68228584528,11
core_rtfidf,67509.57102262974,11
core_stfidf,49253.224404037,11
core_ttfidf,56195.49173873663,11
core_vtfidf,59681.05505758524,11
core_wtfidf,38177.83370268345,11
core_ytfidf,41121.86998915672,11
core_a_count,3968.5626270771027,11
core_c_count,92.25140380859375,11
core_d_count,1258.243836402893,11
core_e_count,4321.705391407013,11
core_f_count,1969.6012349128723,11
core_g_count,4526.631599903107,11
core_h_count,0.0,11
core_i_count,1991.1131298542023,11
core_k_count,1867.347048819065,11
core_l_count,1832.7680290937424,11
core_m_count,335.06872153282166,11
core_n_count,136.89458030462265,11
core_p_count,7387.152889490128,11
core_q_count,502.29750674963,11
core_r_count,543.2055897116661,11
core_s_count,494.49345541000366,11
core_t_count,192.20787811279297,11
core_v_count,232.0519790649414,11
core_w_count,0.0,11
core_y_count,32.08488941192627,11
cluster,38445.33907479048,11
hla_mean,836891.9127780199,11
hla_std,275117.27780622244,11
allele_type_mean,58721.39188694954,11
allele_type_std,43525.124165296555,11
core_P1_mean,31397.420930624008,11
core_P1_std,11116.13967269659,11
core_P2_mean,29870.89658612013,11
core_P2_std,11507.249819040298,11
core_P3_mean,33870.055740475655,11
core_P3_std,9816.958717763424,11
core_P4_mean,35731.84533596039,11
core_P4_std,10147.00565379858,11
core_P5_mean,28005.600256681442,11
core_P5_std,9343.042684793472,11
core_P6_mean,20744.080062031746,11
core_P6_std,13646.924075841904,11
core_P7_mean,17142.83945465088,11
core_P7_std,13055.875749111176,11
core_P8_mean,19751.087336182594,11
core_P8_std,13118.36831766367,11
core_P9_mean,18307.332456350327,11
core_P9_std,12171.346833527088,11
LPFR_P1_mean,44399.275110423565,11
LPFR_P1_std,17338.801744818687,11
LPFR_P2_mean,59524.521162986755,11
LPFR_P2_std,14798.851678669453,11
LPFR_P3_mean,60303.814234375954,11
LPFR_P3_std,18323.61668676138,11
RPFR_P1_mean,53777.34065961838,11
RPFR_P1_std,15647.86512607336,11
RPFR_P2_mean,51682.080600976944,11
RPFR_P2_std,20706.2666451931,11
RPFR_P3_mean,61001.69168263674,11
RPFR_P3_std,21844.322221934795,11
cluster_mean,733784.5835135579,11
cluster_std,80506.65682762861,11
peptide_nunique,72073.02324533463,11
unique_rate,118806.32759231329,11
p1,15569.867667853832,11
p2,15381.398764073849,11
p3,21599.757465541363,11
p4,19494.089303135872,11
p5,19054.731868982315,11
p6,16937.842401087284,11
p7,15517.842566251755,11
p8,15769.361926436424,11
p9,15772.235196053982,11
blosum_sum,61660.255224108696,11
hla,367149.36772835255,11
allele_type,36.67885971069336,11
length,179969.94096714258,11
n_label,22456.324914693832,11
len_LPFR,17.893170773983,11
len_RPFR,9992.532215356827,11
len_peptide_transform,3286.4272287487984,11
core_P1,11666.538017570972,11
core_P2,11273.599189281464,11
core_P3,12733.937876999378,11
core_P4,11629.399022459984,11
core_P5,10488.37224495411,11
core_P6,14945.776615142822,11
core_P7,9063.076039910316,11
core_P8,9050.229766011238,11
core_P9,11586.492652893066,11
LPFR_P1,15665.61489611864,11
LPFR_P2,18592.964775383472,11
LPFR_P3,20585.121000409126,11
RPFR_P1,20470.431278824806,11
RPFR_P2,19729.029663026333,11
RPFR_P3,23926.97765082121,11
core_atfidf,168424.02254134417,11
core_ctfidf,18391.612820625305,11
core_dtfidf,135676.0461615324,11
core_etfidf,71226.91241765022,11
core_ftfidf,81452.45792645216,11
core_gtfidf,67054.32673972845,11
core_htfidf,27329.291397750378,11
core_itfidf,62272.431613862514,11
core_ktfidf,84862.07195663452,11
core_ltfidf,165397.87757784128,11
core_mtfidf,39655.20308423042,11
core_ntfidf,55156.60249865055,11
core_ptfidf,48769.20068573952,11
core_qtfidf,36890.64712047577,11
core_rtfidf,63009.699840545654,11
core_stfidf,49665.00066781044,11
core_ttfidf,63121.01888632774,11
core_vtfidf,46693.179976284504,11
core_wtfidf,33554.08822286129,11
core_ytfidf,39189.81072103977,11
core_a_count,2856.7073044776917,11
core_c_count,398.17601013183594,11
core_d_count,1207.5126634836197,11
core_e_count,5334.371231079102,11
core_f_count,247.26436758041382,11
core_g_count,4933.730229854584,11
core_h_count,174.879638671875,11
core_i_count,762.5818638801575,11
core_k_count,2644.3864406347275,11
core_l_count,1311.6626633405685,11
core_m_count,425.64546728134155,11
core_n_count,504.36835837364197,11
core_p_count,4878.341345071793,11
core_q_count,701.0626888275146,11
core_r_count,826.6761219501495,11
core_s_count,402.7146215438843,11
core_t_count,851.2939416766167,11
core_v_count,517.0953140258789,11
core_w_count,10.576600074768066,11
core_y_count,34.52980995178223,11
cluster,34241.004741966724,11
hla_mean,816386.3787209988,11
hla_std,266288.6978815198,11
allele_type_mean,69597.09892940521,11
allele_type_std,53940.52382469177,11
core_P1_mean,28272.112311661243,11
core_P1_std,11543.01680278778,11
core_P2_mean,31583.76804345846,11
core_P2_std,8770.992252230644,11
core_P3_mean,33923.522148787975,11
core_P3_std,9309.963062405586,11
core_P4_mean,36201.39546203613,11
core_P4_std,9989.70570731163,11
core_P5_mean,24101.406604647636,11
core_P5_std,10470.659319102764,11
core_P6_mean,18495.99932026863,11
core_P6_std,12170.457524895668,11
core_P7_mean,15953.69530826807,11
core_P7_std,13321.781989872456,11
core_P8_mean,18619.454501271248,11
core_P8_std,11238.573929429054,11
core_P9_mean,16645.292340755463,11
core_P9_std,12080.574319958687,11
LPFR_P1_mean,44416.18759059906,11
LPFR_P1_std,20951.607063412666,11
LPFR_P2_mean,55790.42765057087,11
LPFR_P2_std,16426.564006745815,11
LPFR_P3_mean,63912.770051300526,11
LPFR_P3_std,19078.583065629005,11
RPFR_P1_mean,49414.69901025295,11
RPFR_P1_std,13081.378161251545,11
RPFR_P2_mean,50044.66828209162,11
RPFR_P2_std,18566.136188447475,11
RPFR_P3_mean,57041.14965701103,11
RPFR_P3_std,23926.1125818491,11
cluster_mean,826110.8056153059,11
cluster_std,73666.11901408434,11
peptide_nunique,66539.19748401642,11
unique_rate,118833.58125180006,11
p1,15606.844709396362,11
p2,16340.05613398552,11
p3,24330.657101154327,11
p4,22154.481568455696,11
p5,17285.727026820183,11
p6,16900.170644938946,11
p7,16235.041724205017,11
p8,14621.22225368023,11
p9,14355.116890788078,11
blosum_sum,61828.10953724384,11
hla,391009.14823675156,11
allele_type,101.77488994598389,11
length,194171.20304572582,11
n_label,27136.046837061644,11
len_LPFR,91.5411542057991,11
len_RPFR,9349.106832027435,11
len_peptide_transform,3970.169242441654,11
core_P1,14161.954340964556,11
core_P2,12971.387936800718,11
core_P3,12997.694268107414,11
core_P4,13225.817289113998,11
core_P5,11886.792549788952,11
core_P6,13029.751083731651,11
core_P7,12165.479008376598,11
core_P8,12247.57792109251,11
core_P9,13130.76817369461,11
LPFR_P1,19736.482911080122,11
LPFR_P2,21663.26932990551,11
LPFR_P3,20899.35511481762,11
RPFR_P1,21337.956466019154,11
RPFR_P2,20881.696564108133,11
RPFR_P3,29155.56991147995,11
core_atfidf,175666.59438097477,11
core_ctfidf,20492.642875134945,11
core_dtfidf,141428.94879359007,11
core_etfidf,81098.80959069729,11
core_ftfidf,87815.90012711287,11
core_gtfidf,94178.73017665744,11
core_htfidf,32929.27697482705,11
core_itfidf,77176.3748126924,11
core_ktfidf,92744.23009473085,11
core_ltfidf,182980.28789788485,11
core_mtfidf,46112.25960558653,11
core_ntfidf,62520.729120105505,11
core_ptfidf,64938.39789265394,11
core_qtfidf,39502.67744329572,11
core_rtfidf,74927.48188096285,11
core_stfidf,59815.34084260464,11
core_ttfidf,66963.95369002223,11
core_vtfidf,61453.35105866194,11
core_wtfidf,41723.7400727272,11
core_ytfidf,45880.21455335617,11
core_a_count,4671.078236103058,11
core_c_count,3.0191800594329834,11
core_d_count,454.7229890823364,11
core_e_count,5947.497470855713,11
core_f_count,467.52290534973145,11
core_g_count,4973.708083152771,11
core_h_count,123.7891092300415,11
core_i_count,1259.3436665534973,11
core_k_count,2010.605476796627,11
core_l_count,1639.2088508605957,11
core_m_count,318.9687900543213,11
core_n_count,229.203959941864,11
core_p_count,3489.3061139583588,11
core_q_count,522.6692047119141,11
core_r_count,1130.489007115364,11
core_s_count,421.19810032844543,11
core_t_count,395.6395457983017,11
core_v_count,696.4557123184204,11
core_w_count,5.215879917144775,11
core_y_count,88.47375917434692,11
cluster,43322.99662077427,11
hla_mean,871424.6805703342,11
hla_std,307582.4488046169,11
allele_type_mean,46503.57616019249,11
allele_type_std,34045.16930413246,11
core_P1_mean,34069.03067275882,11
core_P1_std,12327.662420988083,11
core_P2_mean,30189.980264544487,11
core_P2_std,12489.246956139803,11
core_P3_mean,31652.4515760839,11
core_P3_std,9855.976457178593,11
core_P4_mean,30638.683162003756,11
core_P4_std,11724.494547605515,11
core_P5_mean,24356.080168396235,11
core_P5_std,11015.816309332848,11
core_P6_mean,19952.2403909266,11
core_P6_std,13603.34602123499,11
core_P7_mean,17051.692904233932,11
core_P7_std,16458.854344189167,11
core_P8_mean,17900.51013046503,11
core_P8_std,12762.836826324463,11
core_P9_mean,18769.282479047775,11
core_P9_std,14495.409207701683,11
LPFR_P1_mean,47392.63914138079,11
LPFR_P1_std,20017.953167378902,11
LPFR_P2_mean,58185.2776453197,11
LPFR_P2_std,14708.524404674768,11
LPFR_P3_mean,67038.41654595733,11
LPFR_P3_std,18352.522197574377,11
RPFR_P1_mean,52785.46754851937,11
RPFR_P1_std,16705.74303817749,11
